spectrum_name,brightness,soil_fraction,leaf_fraction
14deg_plot_11_01_0000,0.792517979136023,0.38305494263495,0.61694505736505
14deg_plot_11_01_0001,0.7257949147033587,0.27782449587040264,0.7221755041295974
14deg_plot_11_01_0002,0.7983658602199003,0.2280219934463169,0.7719780065536832
14deg_plot_11_01_0003,0.7422359060362601,0.22489238904180758,0.7751076109581924
14deg_plot_11_01_0004,0.6974583084673802,0.09725842450970534,0.9027415754902947
14deg_plot_11_02_0000,0.6838873254180686,0.0,1.0
14deg_plot_11_02_0001,0.7478419811345893,0.0,1.0
14deg_plot_11_02_0002,0.6905080420790115,0.0,1.0
14deg_plot_11_02_0003,0.5679700254836239,0.0,0.9999999999999999
14deg_plot_11_03_0000 (2),0.5893404439886694,0.10054562934598553,0.8994543706540143
14deg_plot_11_03_0000,1.0158292922834078,0.350123163304637,0.6498768366953631
14deg_plot_11_03_0001 (2),0.524114769752344,0.05693512059062872,0.9430648794093713
14deg_plot_11_03_0001,0.8982941050191502,0.39735286819239224,0.6026471318076079
14deg_plot_11_03_0002 (2),0.6616947970198568,0.0650171093705418,0.9349828906294582
14deg_plot_11_03_0002,0.7796754364349597,0.2570869753306803,0.7429130246693196
14deg_plot_11_03_0003 (2),0.5480082628113058,0.14654925508115393,0.853450744918846
14deg_plot_11_03_0003,0.9256634795940978,0.2793286766273106,0.7206713233726894
14deg_plot_11_03_0004 (2),0.6814973474177649,0.25676873039537995,0.7432312696046202
14deg_plot_11_03_0004,0.8187725358436242,0.40078152592078364,0.5992184740792164
14deg_plot_11_04_0000,1.0619064098968765,0.395758675803062,0.6042413241969379
14deg_plot_11_04_0001,1.0721922246470483,0.40015181133312355,0.5998481886668765
14deg_plot_11_04_0002,0.9467326691512261,0.19322228926173882,0.8067777107382611
14deg_plot_11_04_0003,0.8736497025496684,0.4606793992486222,0.5393206007513778
14deg_plot_11_04_0004,0.971756667357793,0.3795096158635984,0.6204903841364016
14deg_plot_11_05_0000,0.6173810485443112,0.10175581830118471,0.8982441816988153
14deg_plot_11_05_0001,0.8554181212470194,0.28398496605425677,0.7160150339457432
14deg_plot_11_05_0002,0.5898506801989387,0.0,1.0
14deg_plot_11_05_0003,0.43705636025848593,0.16230917117704316,0.8376908288229568
14deg_plot_11_05_0004,0.46064173799991337,0.19385537201680864,0.8061446279831914
14deg_plot_11_06_0000,0.6503779508260966,0.21869482832331216,0.7813051716766879
14deg_plot_11_06_0001,0.46428093663021053,0.0,1.0
14deg_plot_11_06_0002,0.40003551483127436,0.0,1.0
14deg_plot_11_06_0003,0.46841157064312255,0.0,1.0
14deg_plot_11_06_0004,0.43967608018161836,0.0,1.0
