fname,leaf,soil
14deg_plot_13_10_0000,0.754836045,0.245163955
14deg_plot_13_10_0001,0.395470699,0.604529301
14deg_plot_13_10_0002,0.685835939,0.314164061
14deg_plot_13_10_0003,0.836540185,0.163459815
14deg_plot_13_10_0004,0.475873352,0.524126648
