fname,leaf,soil
14deg_plot_11_08_0000 (2),1,0
14deg_plot_11_08_0000,0.773814914,0.226185086
14deg_plot_11_08_0001 (2),1,0
14deg_plot_11_08_0001,0.842423884,0.157576116
14deg_plot_11_08_0002 (2),1,0
14deg_plot_11_08_0002,0.766815255,0.233184745
14deg_plot_11_08_0003 (2),1,0
14deg_plot_11_08_0003,0.899620576,0.100379424
14deg_plot_11_08_0004 (2),1,0
14deg_plot_11_08_0004,0.902706711,0.097293289
