class,spectrumname,PC1,PC2,PC3
semistress,14deg_plot_1101_0000,4.834952413881472,3.5204600497564327,-14.892272428200684
semistress,14deg_plot_1101_0001,6.497381288288739,-0.15405372421345412,-7.1166842253651295
semistress,14deg_plot_1101_0002,1.9378334742731567,-2.642218903486404,-4.844893736959402
semistress,14deg_plot_1101_0003,6.015347038903537,-2.84733668284406,-5.077395437508043
semistress,14deg_plot_1101_0004,4.32910618180024,-13.307010732816163,0.6283965275635485
semistress,14deg_plot_1102_0000,-4.764145200391228,-17.711057200170682,1.5087749274792737
semistress,14deg_plot_1102_0001,-6.584349192018253,-14.553223373893207,-14.921807771094484
semistress,14deg_plot_1102_0002,-2.513324092088607,-18.565664379774258,-7.748792937535319
semistress,14deg_plot_1102_0003,4.277331078027844,-14.471232284223568,-8.278548492314316
semistress,14deg_plot_1103_0000 (2),9.874347165213342,-5.958798614881769,0.6163039681075375
semistress,14deg_plot_1103_0000,-7.9817591699541826,10.081870020709088,40.644385916925884
semistress,14deg_plot_1103_0001 (2),16.274438389355723,-8.87837195772801,-1.8403680730579086
semistress,14deg_plot_1103_0001,-0.24588205966692642,8.60293394996893,23.216634183628035
semistress,14deg_plot_1103_0002 (2),10.194773375781109,-7.262034767198566,-3.655520979752551
semistress,14deg_plot_1103_0002,-3.383611125613903,5.046312205222456,14.029831783988177
semistress,14deg_plot_1103_0003 (2),16.607395974072208,-5.512110475364579,1.5958338052018093
semistress,14deg_plot_1103_0003,-4.994467857512433,10.682770425578521,10.526214708173775
semistress,14deg_plot_1103_0004 (2),8.767415727994104,-3.6930667688456755,-9.569302781589215
semistress,14deg_plot_1103_0004,2.5399154696244293,13.570403221990315,12.732138994313475
semistress,14deg_plot_1104_0000,-6.8082551886268075,5.046553748666997,-7.9146959196707725
semistress,14deg_plot_1104_0001,-5.516093068793857,5.044107208890317,-4.283365646183331
semistress,14deg_plot_1104_0002,-7.279479963552502,-1.4503971444299726,-18.572817862586383
semistress,14deg_plot_1104_0003,4.192549113111159,-2.311559214396751,3.0370236872754433
semistress,14deg_plot_1104_0004,-4.371658331737156,2.1387492987965424,-5.689516200355097
semistress,14deg_plot_1105_0000,5.958204219704381,-5.372879252346464,10.042247635863099
semistress,14deg_plot_1105_0001,0.38788331389168673,-4.0240178308057954,3.801123900086653
semistress,14deg_plot_1105_0002,-0.8931712291904113,-17.02901730080007,6.481159092604938
semistress,14deg_plot_1105_0003,20.548331877748193,-9.632518928526737,9.84747828216373
