spectrum_name,brightness,soil_fraction,leaf_fraction
14deg_plot_11_08_0000 (2),0.4899276995498244,0.0,1.0
14deg_plot_11_08_0000,0.6402957293468119,0.22618508605430404,0.773814913945696
14deg_plot_11_08_0001 (2),0.49036074177348166,0.0,1.0
14deg_plot_11_08_0001,0.7167009262616494,0.15757611619333456,0.8424238838066653
14deg_plot_11_08_0002 (2),0.4986996606861869,0.0,1.0
14deg_plot_11_08_0002,0.6583451500797495,0.2331847452466841,0.7668152547533156
14deg_plot_11_08_0003 (2),0.5013587289683994,0.0,1.0
14deg_plot_11_08_0003,0.6100180210904919,0.10037942423923589,0.8996205757607642
14deg_plot_11_08_0004 (2),0.4428978822451696,0.0,0.9999999999999999
14deg_plot_11_08_0004,0.6809792138420269,0.09729328947491353,0.9027067105250864
14deg_plot_13_10_0000,1.1242897570970412,0.24516395532386945,0.7548360446761306
14deg_plot_13_10_0001,1.1279548349600754,0.604529301468291,0.395470698531709
14deg_plot_13_10_0002,1.442352849704217,0.31416406059933333,0.6858359394006668
14deg_plot_13_10_0003,1.1449585468616015,0.16345981533807666,0.8365401846619233
14deg_plot_13_10_0004,1.2792507476104304,0.5241266477017077,0.4758733522982923
14deg_plot_14_05_0000 (2),0.819644544247095,0.5005342939613222,0.49946570603867785
14deg_plot_14_05_0000,0.970112252676899,0.7001158245219713,0.2998841754780287
14deg_plot_14_05_0001 (2),0.8663912169605413,0.3987055847767586,0.6012944152232415
14deg_plot_14_05_0001,0.9681266830509672,0.6339031746240915,0.3660968253759085
14deg_plot_14_05_0002 (2),0.7625762809637088,0.45249318449883924,0.5475068155011608
14deg_plot_14_05_0002,0.9240287301710879,0.673510715117539,0.3264892848824611
14deg_plot_14_05_0003 (2),0.7822817500391871,0.42447372924307575,0.5755262707569243
14deg_plot_14_05_0003,0.8742633468381389,0.6067719100921889,0.3932280899078112
14deg_plot_14_05_0004 (2),0.7888110898842793,0.45711236987530557,0.5428876301246945
14deg_plot_14_05_0004,0.9169966957529361,0.697029545467747,0.30297045453225296
